"","height_data","LW","LN","P","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10"
"Height.1265",137.965796387721,0,0,1,"B","B","A","A","A","A","B","B","B","A","A","A","B","A","B","A","B","B","A","B"
"Height.1266",136.706823249262,0,0,1,"B","B","A","A","A","A","B","B","A","B","A","B","A","B","B","B","A","B","A","B"
"Height.1267",140.201789922719,0,0,1,"B","B","A","A","A","A","B","B","A","A","B","A","A","B","B","B","B","A","B","B"
"Height.1268",137.287599515279,0,0,1,"B","B","A","A","A","A","B","A","B","B","B","A","B","B","B","B","A","A","A","A"
"Height.1269",141.39758706098,0,0,1,"B","B","A","A","A","A","B","A","B","A","B","A","B","B","A","A","B","B","A","A"
"Height.1270",138.944508300425,0,0,1,"B","B","A","A","A","A","B","A","A","B","A","A","B","A","A","B","B","B","A","A"
"Height.1271",142.988958254348,0,0,1,"B","B","A","A","A","A","B","A","A","A","A","B","B","B","B","B","A","A","A","B"
"Height.1272",136.601820584211,0,0,1,"B","B","A","A","A","A","A","B","B","B","B","A","A","B","A","B","B","A","B","A"
"Height.1273",138.688221130636,0,0,1,"B","B","A","A","A","A","A","B","B","A","B","A","A","B","A","B","A","A","B","A"
"Height.1274",138.104753839671,0,0,1,"B","B","A","A","A","A","A","B","A","B","A","A","B","A","A","B","A","B","A","B"
"Height.1275",140.896585094276,0,0,1,"B","B","A","A","A","A","A","B","A","A","B","B","B","A","B","A","B","B","B","A"
"Height.1276",137.545678728586,0,0,1,"B","B","A","A","A","A","A","A","B","B","B","A","A","A","B","A","B","A","A","A"
"Height.1277",142.915566604593,0,0,1,"B","B","A","A","A","A","A","A","B","A","B","B","A","B","B","A","B","B","A","B"
"Height.1278",140.686373132881,0,0,1,"B","B","A","A","A","A","A","A","A","B","A","A","B","A","A","B","A","B","A","B"
"Height.1279",142.977002638376,0,0,1,"B","B","A","A","A","A","A","A","A","A","B","B","A","A","B","A","A","A","A","A"
"Height.1280",70.142320115896,0,0,1,"B","A","B","B","B","B","B","B","B","B","B","A","B","A","A","B","A","A","A","A"
"Height.1281",72.410044665124,0,0,1,"B","A","B","B","B","B","B","B","B","A","A","B","B","B","B","B","B","A","B","B"
"Height.1282",71.7316487254998,0,0,1,"B","A","B","B","B","B","B","B","A","B","B","A","B","B","A","B","A","B","B","B"
"Height.1283",74.5835829268432,0,0,1,"B","A","B","B","B","B","B","B","A","A","A","B","A","A","B","B","A","A","A","A"
"Height.1284",71.7523436418241,0,0,1,"B","A","B","B","B","B","B","A","B","B","A","A","B","B","A","A","B","B","B","A"
"Height.1285",74.9615997923626,0,0,1,"B","A","B","B","B","B","B","A","B","A","B","B","A","A","A","A","B","A","A","A"
"Height.1286",74.4683838624429,0,0,1,"B","A","B","B","B","B","B","A","A","B","B","A","A","B","A","A","B","A","A","B"
"Height.1287",78.2529370631905,0,0,1,"B","A","B","B","B","B","B","A","A","A","B","B","A","B","B","B","B","A","B","A"
"Height.1288",69.8671214827756,0,0,1,"B","A","B","B","B","B","A","B","B","B","A","A","A","B","A","B","B","B","A","A"
"Height.1289",72.9835783615586,0,0,1,"B","A","B","B","B","B","A","B","B","A","B","A","B","A","B","A","A","A","A","B"
"Height.1290",73.0431946562567,0,0,1,"B","A","B","B","B","B","A","B","A","B","A","B","B","A","B","A","A","B","A","B"
"Height.1291",74.5353190804881,0,0,1,"B","A","B","B","B","B","A","B","A","A","A","B","B","B","B","A","A","A","A","A"
"Height.1292",72.9315426018883,0,0,1,"B","A","B","B","B","B","A","A","B","B","A","B","A","B","A","A","A","B","B","A"
"Height.1293",75.8757046357251,0,0,1,"B","A","B","B","B","B","A","A","B","A","B","B","B","B","A","A","A","B","B","A"
"Height.1294",73.7829253811586,0,0,1,"B","A","B","B","B","B","A","A","A","B","A","B","B","A","B","B","B","A","A","A"
"Height.1295",79.8075773619482,0,0,1,"B","A","B","B","B","B","A","A","A","A","B","B","A","A","B","A","A","B","A","A"
"Height.1296",70.9624517390022,0,0,1,"B","A","B","B","B","A","B","B","B","B","B","B","B","B","A","B","B","B","A","A"
"Height.1297",74.5190777737952,0,0,1,"B","A","B","B","B","A","B","B","B","A","A","B","A","A","A","B","A","B","B","A"
"Height.1298",73.5717772793608,0,0,1,"B","A","B","B","B","A","B","B","A","B","B","A","B","A","B","B","B","A","A","B"
"Height.1299",76.4812945371275,0,0,1,"B","A","B","B","B","A","B","B","A","A","B","A","B","B","B","B","B","B","A","A"
"Height.1300",72.7359047595872,0,0,1,"B","A","B","B","B","A","B","A","B","B","B","B","A","A","B","B","A","B","A","A"
"Height.1301",77.6357831774149,0,0,1,"B","A","B","B","B","A","B","A","B","A","B","B","B","B","B","A","A","B","A","A"
"Height.1302",75.4532519578966,0,0,1,"B","A","B","B","B","A","B","A","A","B","B","A","A","B","A","A","A","A","A","A"
"Height.1303",77.9314723654615,0,0,1,"B","A","B","B","B","A","B","A","A","A","A","A","B","A","B","A","A","B","A","A"
"Height.1304",70.9723672775418,0,0,1,"B","A","B","B","B","A","A","B","B","B","A","A","A","B","B","A","B","A","A","B"
"Height.1305",74.3938097015757,0,0,1,"B","A","B","B","B","A","A","B","B","A","A","A","B","B","A","B","A","B","B","A"
"Height.1306",74.3236526897001,0,0,1,"B","A","B","B","B","A","A","B","A","B","A","B","A","A","A","B","B","A","A","B"
"Height.1307",77.9842624173559,0,0,1,"B","A","B","B","B","A","A","B","A","A","B","B","A","A","A","A","B","A","A","B"
"Height.1308",75.0587944010573,0,0,1,"B","A","B","B","B","A","A","A","B","B","B","B","B","B","A","B","A","B","B","B"
"Height.1309",77.4971395503339,0,0,1,"B","A","B","B","B","A","A","A","B","A","A","A","B","B","B","A","A","B","A","B"
"Height.1310",77.0705945852027,0,0,1,"B","A","B","B","B","A","A","A","A","B","B","A","B","B","A","B","B","A","B","A"
"Height.1311",78.9213557045155,0,0,1,"B","A","B","B","B","A","A","A","A","A","A","B","B","B","B","B","B","B","A","B"
"Height.1312",72.4030691920624,0,0,1,"B","A","B","B","A","B","B","B","B","B","B","B","B","B","A","A","B","A","A","A"
"Height.1313",74.2220466237589,0,0,1,"B","A","B","B","A","B","B","B","B","A","B","A","A","A","A","B","A","A","B","A"
"Height.1314",73.8119087965276,0,0,1,"B","A","B","B","A","B","B","B","A","B","A","B","A","A","B","A","B","B","A","B"
"Height.1315",76.9267440082138,0,0,1,"B","A","B","B","A","B","B","B","A","A","A","A","B","A","B","B","B","B","B","A"
"Height.1316",74.6512556879646,0,0,1,"B","A","B","B","A","B","B","A","B","B","A","B","B","A","B","B","B","A","A","B"
"Height.1317",78.6070075945917,0,0,1,"B","A","B","B","A","B","B","A","B","A","A","A","A","B","B","B","B","A","A","B"
"Height.1318",76.5540021681682,0,0,1,"B","A","B","B","A","B","B","A","A","B","B","B","B","A","B","A","B","A","A","A"
"Height.1319",80.0227882478514,0,0,1,"B","A","B","B","A","B","B","A","A","A","B","B","B","A","B","B","B","B","A","B"
"Height.1320",72.9264116644256,0,0,1,"B","A","B","B","A","B","A","B","B","B","B","B","A","B","B","A","B","A","B","A"
"Height.1321",76.0459583604809,0,0,1,"B","A","B","B","A","B","A","B","B","A","B","B","B","A","B","B","B","A","B","A"
"Height.1322",74.4050477052571,0,0,1,"B","A","B","B","A","B","A","B","A","B","B","A","A","A","A","A","B","B","B","B"
"Height.1323",76.9125105313217,0,0,1,"B","A","B","B","A","B","A","B","A","A","B","B","B","B","B","A","A","B","B","B"
"Height.1324",75.2110409991319,0,0,1,"B","A","B","B","A","B","A","A","B","B","B","A","A","A","B","B","A","B","B","B"
"Height.1325",77.6014240615308,0,0,1,"B","A","B","B","A","B","A","A","B","A","B","A","B","A","B","A","B","B","A","B"
"Height.1326",77.976334111099,0,0,1,"B","A","B","B","A","B","A","A","A","B","B","B","A","B","A","A","A","B","B","B"
"Height.1327",80.0617006655889,0,0,1,"B","A","B","B","A","B","A","A","A","A","A","B","B","A","B","A","A","A","A","B"
"Height.1328",72.5029948531432,0,0,1,"B","A","B","B","A","A","B","B","B","B","A","B","A","A","A","B","A","A","B","B"
"Height.1329",76.4169660033736,0,0,1,"B","A","B","B","A","A","B","B","B","A","B","B","B","B","B","A","A","A","A","B"
"Height.1330",76.09294766376,0,0,1,"B","A","B","B","A","A","B","B","A","B","A","B","B","B","B","B","A","B","B","A"
"Height.1331",79.8252407104955,0,0,1,"B","A","B","B","A","A","B","B","A","A","B","A","A","B","A","B","A","B","B","B"
"Height.1332",76.2055054039066,0,0,1,"B","A","B","B","A","A","B","A","B","B","B","B","A","A","A","A","A","B","A","A"
"Height.1333",79.2745608821778,0,0,1,"B","A","B","B","A","A","B","A","B","A","B","A","A","B","B","A","B","A","A","B"
"Height.1334",77.9193369411176,0,0,1,"B","A","B","B","A","A","B","A","A","B","A","B","A","A","A","A","A","A","A","A"
"Height.1335",81.884101728298,0,0,1,"B","A","B","B","A","A","B","A","A","A","A","A","B","A","A","B","B","B","A","A"
"Height.1336",74.1506274872676,0,0,1,"B","A","B","B","A","A","A","B","B","B","B","A","B","A","A","B","B","A","A","A"
"Height.1337",77.0372893924778,0,0,1,"B","A","B","B","A","A","A","B","B","A","B","A","B","A","B","A","B","A","A","B"
"Height.1338",74.335975316244,0,0,1,"B","A","B","B","A","A","A","B","A","B","A","A","A","B","B","B","A","A","A","B"
"Height.1339",79.5745211416867,0,0,1,"B","A","B","B","A","A","A","B","A","A","B","A","B","A","B","A","B","B","B","B"
"Height.1340",76.908616466559,0,0,1,"B","A","B","B","A","A","A","A","B","B","B","A","A","B","B","B","A","B","A","B"
"Height.1341",81.7037934582187,0,0,1,"B","A","B","B","A","A","A","A","B","A","B","B","B","B","A","A","B","B","B","A"
"Height.1342",78.5688005164646,0,0,1,"B","A","B","B","A","A","A","A","A","B","B","A","A","A","A","A","A","B","B","B"
"Height.1343",81.995170779382,0,0,1,"B","A","B","B","A","A","A","A","A","A","A","A","B","A","A","A","A","A","B","A"
"Height.1344",129.498623420757,0,0,1,"B","A","B","A","B","B","B","B","B","B","A","A","A","B","B","A","B","B","A","A"
"Height.1345",131.860729190617,0,0,1,"B","A","B","A","B","B","B","B","B","A","A","A","B","B","A","B","A","B","A","B"
"Height.1346",131.07537200535,0,0,1,"B","A","B","A","B","B","B","B","A","B","A","A","B","B","B","A","A","A","B","B"
"Height.1347",135.26063016382,0,0,1,"B","A","B","A","B","B","B","B","A","A","A","B","B","B","A","B","A","B","A","A"
"Height.1348",131.622570977754,0,0,1,"B","A","B","A","B","B","B","A","B","B","B","B","A","A","B","A","A","B","B","A"
"Height.1349",135.240447167484,0,0,1,"B","A","B","A","B","B","B","A","B","A","B","B","B","B","A","A","A","B","B","A"
"Height.1350",133.449489606377,0,0,1,"B","A","B","A","B","B","B","A","A","B","B","A","A","A","A","B","B","A","A","B"
"Height.1351",138.25188354876,0,0,1,"B","A","B","A","B","B","B","A","A","A","A","B","B","A","B","B","A","A","B","A"
"Height.1352",130.850963712839,0,0,1,"B","A","B","A","B","B","A","B","B","B","B","A","B","A","B","A","A","A","B","A"
"Height.1353",133.426257203617,0,0,1,"B","A","B","A","B","B","A","B","B","A","B","A","B","A","A","A","B","B","A","B"
"Height.1354",132.307756875584,0,0,1,"B","A","B","A","B","B","A","B","A","B","B","B","A","A","A","A","B","B","B","A"
"Height.1355",136.190707181021,0,0,1,"B","A","B","A","B","B","A","B","A","A","B","B","B","B","A","A","A","B","B","A"
"Height.1356",131.9875884409,0,0,1,"B","A","B","A","B","B","A","A","B","B","A","A","B","A","A","A","B","B","A","A"
"Height.1357",136.296542060872,0,0,1,"B","A","B","A","B","B","A","A","B","A","A","A","A","A","A","A","B","B","B","B"
"Height.1358",135.149465833991,0,0,1,"B","A","B","A","B","B","A","A","A","B","B","A","A","A","B","A","A","B","B","A"
"Height.1359",137.30236412172,0,0,1,"B","A","B","A","B","B","A","A","A","A","A","B","A","B","A","B","B","B","B","A"
"Height.1360",130.832604612858,0,0,1,"B","A","B","A","B","A","B","B","B","B","B","B","B","A","B","A","B","A","A","B"
"Height.1361",134.196087614041,0,0,1,"B","A","B","A","B","A","B","B","B","A","A","B","B","A","B","A","A","A","A","A"
"Height.1362",133.003667961317,0,0,1,"B","A","B","A","B","A","B","B","A","B","B","B","A","B","B","A","B","B","A","B"
"Height.1363",136.098391618412,0,0,1,"B","A","B","A","B","A","B","B","A","A","A","A","B","A","A","A","A","A","A","B"
"Height.1364",134.534262587468,0,0,1,"B","A","B","A","B","A","B","A","B","B","B","A","A","A","A","B","B","A","B","A"
"Height.1365",137.057936287128,0,0,1,"B","A","B","A","B","A","B","A","B","A","B","A","B","A","A","A","B","A","A","B"
"Height.1366",136.263606042821,0,0,1,"B","A","B","A","B","A","B","A","A","B","A","B","B","A","A","B","A","A","A","A"
"Height.1367",138.220801661849,0,0,1,"B","A","B","A","B","A","B","A","A","A","A","B","A","A","A","A","A","A","A","B"
"Height.1368",131.63499838091,0,0,1,"B","A","B","A","B","A","A","B","B","B","B","A","A","A","A","A","A","A","B","B"
"Height.1369",134.964349124644,0,0,1,"B","A","B","A","B","A","A","B","B","A","B","B","B","B","A","A","A","A","A","A"
"Height.1370",133.782895801993,0,0,1,"B","A","B","A","B","A","A","B","A","B","A","B","B","A","A","A","A","A","A","B"
"Height.1371",135.187618382599,0,0,1,"B","A","B","A","B","A","A","B","A","A","B","B","A","A","A","B","A","B","A","B"
"Height.1372",135.327324361439,0,0,1,"B","A","B","A","B","A","A","A","B","B","A","A","A","A","B","B","B","B","B","B"
"Height.1373",135.76497333142,0,0,1,"B","A","B","A","B","A","A","A","B","A","B","A","B","A","B","B","A","A","B","A"
"Height.1374",135.274937105636,0,0,1,"B","A","B","A","B","A","A","A","A","B","B","B","A","B","A","A","A","B","A","B"
"Height.1375",139.804160134095,0,0,1,"B","A","B","A","B","A","A","A","A","A","B","B","B","B","B","B","B","B","B","A"
"Height.1376",132.206586856955,0,0,1,"B","A","B","A","A","B","B","B","B","B","A","A","B","A","A","B","A","A","A","A"
"Height.1377",136.18835924099,0,0,1,"B","A","B","A","A","B","B","B","B","A","A","A","B","A","B","B","B","A","A","A"
"Height.1378",133.380724388463,0,0,1,"B","A","B","A","A","B","B","B","A","B","B","B","B","A","B","B","B","A","B","A"
"Height.1379",137.801028187277,0,0,1,"B","A","B","A","A","B","B","B","A","A","A","A","B","A","A","B","B","B","A","A"
"Height.1380",134.045462837913,0,0,1,"B","A","B","A","A","B","B","A","B","B","A","A","A","A","B","B","B","A","B","A"
"Height.1381",136.589834349084,0,0,1,"B","A","B","A","A","B","B","A","B","A","A","A","A","A","B","A","A","B","B","B"
"Height.1382",134.947196943204,0,0,1,"B","A","B","A","A","B","B","A","A","B","A","B","B","A","B","B","B","A","A","A"
"Height.1383",139.250763271156,0,0,1,"B","A","B","A","A","B","B","A","A","A","A","B","A","A","B","A","B","B","B","A"
"Height.1384",133.269909709985,0,0,1,"B","A","B","A","A","B","A","B","B","B","A","B","B","B","A","A","B","A","A","B"
"Height.1385",135.750612386221,0,0,1,"B","A","B","A","A","B","A","B","B","A","A","B","A","B","B","B","B","B","A","B"
"Height.1386",135.53225194721,0,0,1,"B","A","B","A","A","B","A","B","A","B","A","B","B","A","A","A","A","A","A","A"
"Height.1387",138.499862540742,0,0,1,"B","A","B","A","A","B","A","B","A","A","A","B","B","B","B","A","B","B","A","A"
"Height.1388",134.727174295092,0,0,1,"B","A","B","A","A","B","A","A","B","B","B","B","B","B","B","B","B","A","A","B"
"Height.1389",139.395020425676,0,0,1,"B","A","B","A","A","B","A","A","B","A","A","A","A","A","B","B","A","A","A","A"
"Height.1390",136.793594133254,0,0,1,"B","A","B","A","A","B","A","A","A","B","A","A","B","A","A","A","A","B","B","B"
"Height.1391",139.915498444191,0,0,1,"B","A","B","A","A","B","A","A","A","A","B","B","A","A","A","A","A","A","B","A"
"Height.1392",133.544149797201,0,0,1,"B","A","B","A","A","A","B","B","B","B","B","B","B","B","A","A","A","A","B","B"
"Height.1393",135.855241457215,0,0,1,"B","A","B","A","A","A","B","B","B","A","B","B","B","B","A","B","B","A","B","B"
"Height.1394",135.474098785142,0,0,1,"B","A","B","A","A","A","B","B","A","B","B","A","A","A","B","A","A","B","B","B"
"Height.1395",138.844363155148,0,0,1,"B","A","B","A","A","A","B","B","A","A","B","A","B","B","B","B","A","B","A","B"
"Height.1396",135.561136470226,0,0,1,"B","A","B","A","A","A","B","A","B","B","A","A","A","A","A","A","A","B","B","A"
"Height.1397",140.998589782914,0,0,1,"B","A","B","A","A","A","B","A","B","A","A","A","A","B","A","A","A","A","A","B"
"Height.1398",138.434767639014,0,0,1,"B","A","B","A","A","A","B","A","A","B","B","B","A","A","A","B","A","A","A","A"
"Height.1399",141.576815853277,0,0,1,"B","A","B","A","A","A","B","A","A","A","B","A","B","B","A","A","A","B","B","B"
"Height.1400",134.113853806852,0,0,1,"B","A","B","A","A","A","A","B","B","B","B","A","B","A","A","A","B","B","B","A"
"Height.1401",137.54210571571,0,0,1,"B","A","B","A","A","A","A","B","B","A","B","B","A","A","A","A","A","B","B","B"
"Height.1402",135.881978690721,0,0,1,"B","A","B","A","A","A","A","B","A","B","A","B","A","B","A","B","B","B","A","A"
"Height.1403",139.337739475112,0,0,1,"B","A","B","A","A","A","A","B","A","A","B","B","B","B","B","B","A","B","B","A"
"Height.1404",136.025027934778,0,0,1,"B","A","B","A","A","A","A","A","B","B","B","A","A","B","A","A","A","A","B","A"
"Height.1405",139.929874259337,0,0,1,"B","A","B","A","A","A","A","A","B","A","A","A","A","A","A","B","B","B","B","A"
"Height.1406",137.851717092799,0,0,1,"B","A","B","A","A","A","A","A","A","B","A","B","B","B","A","B","A","A","A","B"
"Height.1407",141.382689547584,0,0,1,"B","A","B","A","A","A","A","A","A","A","B","B","A","A","A","A","A","B","B","B"
"Height.1408",73.4195532996571,0,0,1,"B","A","A","B","B","B","B","B","B","B","B","A","B","B","A","A","A","A","A","A"
"Height.1409",76.8371056292152,0,0,1,"B","A","A","B","B","B","B","B","B","A","A","A","B","A","B","B","B","B","B","B"
"Height.1410",74.9409245214831,0,0,1,"B","A","A","B","B","B","B","B","A","B","B","A","A","B","B","B","B","B","B","A"
"Height.1411",78.0442377198515,0,0,1,"B","A","A","B","B","B","B","B","A","A","B","B","B","A","A","B","B","A","B","A"
"Height.1412",74.5623261500278,0,0,1,"B","A","A","B","B","B","B","A","B","B","A","B","A","B","B","B","B","B","A","A"
"Height.1413",77.8367166756407,0,0,1,"B","A","A","B","B","B","B","A","B","A","A","A","A","B","B","B","B","A","A","A"
"Height.1414",77.1178197336547,0,0,1,"B","A","A","B","B","B","B","A","A","B","A","A","B","B","B","B","A","B","B","B"
"Height.1415",79.9867655561524,0,0,1,"B","A","A","B","B","B","B","A","A","A","A","B","A","A","A","B","A","A","A","A"
"Height.1416",72.7512556972539,0,0,1,"B","A","A","B","B","B","A","B","B","B","A","A","A","A","B","B","B","B","B","B"
"Height.1417",76.3248036157751,0,0,1,"B","A","A","B","B","B","A","B","B","A","B","A","B","B","A","A","A","A","A","B"
"Height.1418",75.804643306766,0,0,1,"B","A","A","B","B","B","A","B","A","B","B","A","B","A","B","B","B","B","A","B"
"Height.1419",79.0148387906224,0,0,1,"B","A","A","B","B","B","A","B","A","A","B","B","B","B","B","B","A","B","A","A"
"Height.1420",77.1492234283975,0,0,1,"B","A","A","B","B","B","A","A","B","B","A","B","B","B","B","B","A","B","B","B"
"Height.1421",79.9631156798316,0,0,1,"B","A","A","B","B","B","A","A","B","A","A","B","B","B","B","A","B","B","B","A"
"Height.1422",78.1151225924425,0,0,1,"B","A","A","B","B","B","A","A","A","B","B","B","B","A","B","A","A","B","A","B"
"Height.1423",82.5436186760594,0,0,1,"B","A","A","B","B","B","A","A","A","A","A","A","A","A","B","A","A","B","A","B"
"Height.1424",73.2616515067958,0,0,1,"B","A","A","B","B","A","B","B","B","B","A","A","A","A","B","B","B","A","B","A"
"Height.1425",77.4621081737914,0,0,1,"B","A","A","B","B","A","B","B","B","A","A","B","A","B","A","A","B","B","A","A"
"Height.1426",75.3458487545269,0,0,1,"B","A","A","B","B","A","B","B","A","B","A","A","B","A","B","B","A","A","B","B"
"Height.1427",79.0473474772694,0,0,1,"B","A","A","B","B","A","B","B","A","A","B","B","B","B","B","A","A","A","A","A"
"Height.1428",76.4555138755083,0,0,1,"B","A","A","B","B","A","B","A","B","B","A","B","A","A","A","B","A","A","A","A"
"Height.1429",80.8454272561513,0,0,1,"B","A","A","B","B","A","B","A","B","A","A","B","B","A","A","B","B","B","A","A"
"Height.1430",78.0959033784405,0,0,1,"B","A","A","B","B","A","B","A","A","B","A","B","B","A","A","A","A","A","B","B"
"Height.1431",82.7294800313155,0,0,1,"B","A","A","B","B","A","B","A","A","A","A","B","B","A","A","B","B","B","A","A"
"Height.1432",75.596497671787,0,0,1,"B","A","A","B","B","A","A","B","B","B","A","A","B","A","B","B","A","A","B","B"
"Height.1433",78.129167709829,0,0,1,"B","A","A","B","B","A","A","B","B","A","B","B","B","A","B","B","B","B","B","A"
"Height.1434",76.3423037280726,0,0,1,"B","A","A","B","B","A","A","B","A","B","B","B","B","B","B","A","B","B","A","B"
"Height.1435",80.2838095581469,0,0,1,"B","A","A","B","B","A","A","B","A","A","A","A","A","B","A","B","A","A","B","A"
"Height.1436",78.6245128576745,0,0,1,"B","A","A","B","B","A","A","A","B","B","B","A","B","B","A","B","A","B","A","B"
"Height.1437",81.2432729715508,0,0,1,"B","A","A","B","B","A","A","A","B","A","B","A","A","A","B","A","A","B","B","A"
"Height.1438",79.8782009490239,0,0,1,"B","A","A","B","B","A","A","A","A","B","A","A","B","B","B","B","B","B","A","B"
"Height.1439",82.3405540622307,0,0,1,"B","A","A","B","B","A","A","A","A","A","A","A","B","B","A","A","A","A","B","B"
"Height.1440",75.7483525097062,0,0,1,"B","A","A","B","A","B","B","B","B","B","B","B","A","A","A","B","A","A","B","B"
"Height.1441",79.2282712912114,0,0,1,"B","A","A","B","A","B","B","B","B","A","B","A","A","A","A","A","A","A","B","A"
"Height.1442",77.5461970401923,0,0,1,"B","A","A","B","A","B","B","B","A","B","A","B","B","A","A","A","A","B","B","A"
"Height.1443",81.2487656494306,0,0,1,"B","A","A","B","A","B","B","B","A","A","A","B","B","A","B","B","A","B","A","A"
"Height.1444",76.5259451236578,0,0,1,"B","A","A","B","A","B","B","A","B","B","B","B","B","B","B","A","B","A","B","B"
"Height.1445",81.5116430809679,0,0,1,"B","A","A","B","A","B","B","A","B","A","A","A","B","B","A","B","B","B","B","A"
"Height.1446",80.9348724525495,0,0,1,"B","A","A","B","A","B","B","A","A","B","A","A","B","A","B","A","A","A","A","B"
"Height.1447",83.6334158071136,0,0,1,"B","A","A","B","A","B","B","A","A","A","B","B","A","B","B","A","A","B","B","A"
"Height.1448",75.9650884707839,0,0,1,"B","A","A","B","A","B","A","B","B","B","B","B","B","A","A","B","A","A","A","B"
"Height.1449",79.23888273314,0,0,1,"B","A","A","B","A","B","A","B","B","A","A","B","B","B","B","B","B","B","A","B"
"Height.1450",80.5149995396145,0,0,1,"B","A","A","B","A","B","A","B","A","B","A","B","B","A","A","A","B","B","A","B"
"Height.1451",80.63590800429,0,0,1,"B","A","A","B","A","B","A","B","A","A","B","B","B","B","B","B","A","B","B","B"
"Height.1452",78.0126487580978,0,0,1,"B","A","A","B","A","B","A","A","B","B","A","A","B","B","B","A","B","A","B","B"
"Height.1453",82.2479795075046,0,0,1,"B","A","A","B","A","B","A","A","B","A","B","A","A","A","A","B","B","A","A","B"
"Height.1454",81.2818206541646,0,0,1,"B","A","A","B","A","B","A","A","A","B","B","A","B","B","A","B","A","B","B","A"
"Height.1455",83.2237128855417,0,0,1,"B","A","A","B","A","B","A","A","A","A","B","B","B","A","B","A","A","A","A","B"
"Height.1456",76.3674542755131,0,0,1,"B","A","A","B","A","A","B","B","B","B","B","B","B","B","A","B","A","A","A","B"
"Height.1457",80.0348962991154,0,0,1,"B","A","A","B","A","A","B","B","B","A","A","B","A","B","A","A","B","B","A","A"
"Height.1458",79.2915729324207,0,0,1,"B","A","A","B","A","A","B","B","A","B","A","A","A","B","A","B","B","B","B","B"
"Height.1459",82.7530943400738,0,0,1,"B","A","A","B","A","A","B","B","A","A","A","B","A","B","A","A","A","B","A","A"
"Height.1460",79.5157825026654,0,0,1,"B","A","A","B","A","A","B","A","B","B","B","B","A","A","A","B","A","B","B","B"
"Height.1461",82.8774406470103,0,0,1,"B","A","A","B","A","A","B","A","B","A","A","A","B","A","A","B","B","A","A","A"
"Height.1462",82.1193998909733,0,0,1,"B","A","A","B","A","A","B","A","A","B","A","B","A","B","B","A","B","A","A","A"
"Height.1463",84.020195065846,0,0,1,"B","A","A","B","A","A","B","A","A","A","A","A","A","B","B","B","B","A","B","A"
"Height.1464",77.7720858187522,0,0,1,"B","A","A","B","A","A","A","B","B","B","A","A","A","A","B","A","A","B","A","A"
"Height.1465",81.2696525662567,0,0,1,"B","A","A","B","A","A","A","B","B","A","A","B","A","B","A","A","B","B","A","B"
"Height.1466",79.4381376027286,0,0,1,"B","A","A","B","A","A","A","B","A","B","A","B","B","A","B","B","A","B","A","B"
"Height.1467",82.5879819532917,0,0,1,"B","A","A","B","A","A","A","B","A","A","A","A","A","B","A","A","A","B","A","A"
"Height.1468",81.1365768143948,0,0,1,"B","A","A","B","A","A","A","A","B","B","A","A","B","A","A","B","B","A","A","A"
"Height.1469",83.4354768658185,0,0,1,"B","A","A","B","A","A","A","A","B","A","B","B","B","B","B","B","A","B","A","A"
"Height.1470",82.9715363402933,0,0,1,"B","A","A","B","A","A","A","A","A","B","A","A","B","B","A","B","B","A","B","B"
"Height.1471",86.7252711744009,0,0,1,"B","A","A","B","A","A","A","A","A","A","B","A","B","A","B","A","A","A","B","A"
"Height.1472",132.194480480386,0,0,1,"B","A","A","A","B","B","B","B","B","B","A","A","A","B","B","A","B","B","A","A"
"Height.1473",136.158153177362,0,0,1,"B","A","A","A","B","B","B","B","B","A","A","B","A","A","B","A","B","A","B","B"
"Height.1474",135.02506422981,0,0,1,"B","A","A","A","B","B","B","B","A","B","B","A","B","B","A","A","A","A","B","B"
"Height.1475",137.653018020895,0,0,1,"B","A","A","A","B","B","B","B","A","A","A","B","A","A","B","B","A","A","A","A"
"Height.1476",136.722983263846,0,0,1,"B","A","A","A","B","B","B","A","B","B","B","B","B","B","B","A","A","A","A","B"
"Height.1477",139.004502246514,0,0,1,"B","A","A","A","B","B","B","A","B","A","B","A","A","A","B","B","B","A","A","A"
"Height.1478",137.979386958768,0,0,1,"B","A","A","A","B","B","B","A","A","B","A","B","B","A","A","A","B","B","B","B"
"Height.1479",139.822829213357,0,0,1,"B","A","A","A","B","B","B","A","A","A","A","B","B","B","B","A","B","A","A","B"
"Height.1480",133.682974642637,0,0,1,"B","A","A","A","B","B","A","B","B","B","B","B","A","A","B","A","A","B","A","A"
"Height.1481",138.290683208178,0,0,1,"B","A","A","A","B","B","A","B","B","A","A","B","B","A","A","A","B","B","B","A"
"Height.1482",135.249530618674,0,0,1,"B","A","A","A","B","B","A","B","A","B","A","A","A","A","A","B","B","A","A","B"
"Height.1483",138.877765849318,0,0,1,"B","A","A","A","B","B","A","B","A","A","A","A","A","A","A","B","A","B","B","B"
"Height.1484",136.584340673918,0,0,1,"B","A","A","A","B","B","A","A","B","B","B","A","B","A","A","A","A","B","B","B"
"Height.1485",138.486920596702,0,0,1,"B","A","A","A","B","B","A","A","B","A","A","B","B","B","A","A","A","A","B","A"
"Height.1486",138.163885941685,0,0,1,"B","A","A","A","B","B","A","A","A","B","A","B","B","A","B","B","A","B","A","B"
